id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"173067","result","581","0",,,,,,"Les équipes #MSF ont traité 1 460 patients, dont une maj. d'enfants souffrant de malnutrition, d'infections respiratoires, de diarrhée aqueuse aiguë et de #paludisme. Plus de 300 femmes  enceintes ont également reçu des soins.","1668185607170936832","f","f","1",,,,,,,,,,,,,"MSF France",,,"2023-06-12 09:16:56+00","0","0","0","https://twitter.com/MSF_france/status/1668185607170936832","14755217","MSF_france","445","2024-06-06 18:31:57.00569+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173068","result","582","0",,,,,,"Près de 30 000 personnes réfugiées  et rapatriées dans la région de Sila, dans l'est du #Tchad, reçoivent une  aide humanitaire limitée et lente. Les équipes #MSF fournissent des soins médicaux dans les sites de déplacés d'#Andressa et de #Mogororo.","1668185605338021893","f","f","1",,,,,,,,,,,,,"MSF France",,,"2023-06-12 09:16:56+00","0","0","1","https://twitter.com/MSF_france/status/1668185605338021893","14755217","MSF_france","521","2024-06-06 18:31:57.371104+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173077","result","583","0",,,,,,"« Nous  craignons qu’avec l’arrivée des pluies, les personnes résidant dans la  région de Sila ne soient prises au piège et abandonnées à leur sort,  sans accès aux services essentiels ou sans informations sur les endroits  où ils et elles peuvent se rendre pour en bénéficier. »","1668185603563745285","f","f","1",,,,,,,,,,,,,"MSF France",,,"2023-06-12 09:16:55+00","0","0","1","https://twitter.com/MSF_france/status/1668185603563745285","14755217","MSF_france","87","2024-06-06 18:32:03.043386+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173079","result","584","0",,,,,,"« Plus de 100 000 personnes ont déjà franchi la frontière avec le #Tchad depuis le début des combats au #Soudan » explique Audrey van der Schoot, cheffe de mission #MSF au Tchad.","1668185601621864448","f","f","1",,,,,,,,,,,,,"MSF France",,,"2023-06-12 09:16:55+00","0","0","1","https://twitter.com/MSF_france/status/1668185601621864448","14755217","MSF_france","210","2024-06-06 18:32:03.407691+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173082","result","585","0",,,,,,"🧵Des dizaines de milliers de  Soudanais ont trouvé refuge dans la région de Sila au #Tchad. Ils font  face à des conditions d’accès aux soins, à l’eau potable et à l’hygiène  insuffisantes, tandis que l’arrivée de la saison des pluies pourrait  encore aggraver la situation. https://t.co/5DUi3xXbrH","1668185599012925440","f","f","6","https://pbs.twimg.com/media/FyaV7WAXwAE6Dxs.jpg","photo","https://pbs.twimg.com/media/FyaV7WAXwAE6Dxs.jpg",,,,,,,,,,"MSF France",,,"2023-06-12 09:16:54+00","1","4","1","https://twitter.com/MSF_france/status/1668185599012925440","14755217","MSF_france","1127","2024-06-06 18:32:03.785623+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173084","result","586","0",,,,,,"En raison de la destruction du barrage de #Kakhovka, la ville de #Marhanets dans la région de #Dnipropetrovks connaît des pénuries d'eau. Les équipes #MSF évacuent les patients de l'hôpital Marhanets vers la ville de Dnipro. #UkraineWar","1667426266830585856","f","t","7",,,,,,,,,,,,,"MSF France","https://twitter.com/MSF_Ukraine/status/Field","1667403287555915776","2023-06-10 06:59:35+00","0","5","0","https://twitter.com/MSF_france/status/1667426266830585856","14755217","MSF_france","1607","2024-06-06 18:32:04.173239+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173086","result","587","0",,,,,,"L'#UE et ses États membres doivent immédiatement mettre fin aux violations du droit international aux frontières, cesser d'externaliser la gestion violente de ses frontières et garantir des voies d’accès sûres et légales pour ceux qui ont besoin de protection.","1667264818636640290","f","f","5",,,,,,,,,,,,,"MSF France",,,"2023-06-09 20:18:03+00","0","2","0","https://twitter.com/MSF_france/status/1667264818636640290","14755217","MSF_france","901","2024-06-06 18:32:04.543077+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173087","result","588","0",,,,,,"Encore une fois la réponse de l’#UE semble se trouver dans d’avantage de contrôle, de sécurisation et de refoulement au détriment de l’assistance et de la protection des personnes qui risquent leur vie pour accéder à la sécurité en Europe.","1667264816568848402","f","f","7",,,,,,,,,,,,,"MSF France",,,"2023-06-09 20:18:03+00","1","2","1","https://twitter.com/MSF_france/status/1667264816568848402","14755217","MSF_france","1051","2024-06-06 18:32:04.904495+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173090","result","589","0",,,,,,"Malheureusement, l'expérience de #MSF aux frontières européennes montre que ces politiques bafouent souvent les droits et le bien-être des personnes en migration.","1667264814610108427","f","f","1",,,,,,,,,,,,,"MSF France",,,"2023-06-09 20:18:02+00","0","0","1","https://twitter.com/MSF_france/status/1667264814610108427","14755217","MSF_france","201","2024-06-06 18:32:05.335568+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173092","result","590","0",,,,,,"#MSF examine actuellement les points de l'accord sur l'asile et la migration auquel @GDarmaninet ses homologues de l'#UE sont parvenus le 08/06 à Luxembourg.","1667264812584259604","f","f","6",,,,,,,,,,,,,"MSF France",,,"2023-06-09 20:18:02+00","0","2","1","https://twitter.com/MSF_france/status/1667264812584259604","14755217","MSF_france","1507","2024-06-06 18:32:05.78704+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"173094","result","591","0",,,,,,"Alors que la situation s’avérait relativement calme ce matin, beaucoup de femmes et d'enfants qui ont fui le camp de protection et n'y sont pas encore retournés par crainte d'une escalade.","1667199356800323587","f","f","2",,,,,,,,,,,,,"MSF France",,,"2023-06-09 15:57:56+00","0","0","0","https://twitter.com/MSF_france/status/1667199356800323587","14755217","MSF_france","445","2024-06-06 18:32:06.151689+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
