id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"177101","result","456","0",,,,,,"« 24 février 2022. Le jour des premiers bombardements et aussi celui où, pour la 1ère fois, j’ai lu de l’angoisse dans les yeux de mon père ».  En Moldavie, @MdM_France fournit un soutien psychologique aux réfugiés ukrainiens &amp; aux aidants de 1ère ligne 👇 https://t.co/kq2h2uXHn2","1630238798880833536","f","f","0",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-27 16:09:52+00","0","1","0","https://twitter.com/MdM_France/status/1630238798880833536","113398253","MdM_France","891","2024-06-06 20:21:27.247249+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177102","result","457","0",,,,,,"En #Moldavie🇲🇩, pays ayant accueilli le plus de réfugiés ukrainiens depuis le début de la #GuerreEnUkraine, @MdM_France propose un suivi psychologique aux réfugiés, aux Moldaves, et aux humanitaires sur le terrain.  Un reportage de @prioritesante, @RFI 👇  https://t.co/OqQabKz7hh","1629428491522551809","f","f","10",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-25 10:30:00+00","0","3","0","https://twitter.com/MdM_France/status/1629428491522551809","113398253","MdM_France","1741","2024-06-06 20:21:27.66366+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177104","result","458","1",,,,,,"🇺🇦 Guerre en #Ukraine   Apporter un soutien psychologique aux aidants afin de prévenir l’épuisement et assurer la continuité de l’aide.    En #Moldavie, @MdM_France intervient auprès des personnes réfugiées, mais également auprès des #humanitaires de première ligne. 👇 https://t.co/xCybUfpN57","1629164262055878656","f","f","14","https://pbs.twimg.com/ext_tw_video_thumb/1629113043891150849/pu/img/Re1u-FHF50O-2T2k.jpg","video","https://video.twimg.com/ext_tw_video/1629113043891150849/pu/vid/320x568/58yQJBCBCfTgsWHW.mp4?tag=12",,,,,,,,,,"Médecins du Monde",,,"2023-02-24 17:00:03+00","0","3","1","https://twitter.com/MdM_France/status/1629164262055878656","113398253","MdM_France","2019","2024-06-06 20:21:28.051131+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177106","result","459","0",,,,,,"Cela fait aujourd'hui 1 an que notre collègue et ami #OlivierVandecasteele est détenu en Iran dans des conditions inhumaines.   📢 Nous exigeons sa libération immédiate ! Pour le soutenir, vous pouvez rejoindre les mobilisations de ce dimanche 👉 https://t.co/WU782VG6Gu","1629118214532657154","f","t","24",,,,,,,,,,,,,"Médecins du Monde","https://twitter.com/FreeOlivierVDC/status/Field","1628983100779773954","2023-02-24 13:57:04+00","0","16","0","https://twitter.com/MdM_France/status/1629118214532657154","113398253","MdM_France","2088","2024-06-06 20:21:28.458549+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177108","result","460","0",,,,,,"Après un an de conflit, les populations sont confrontées à de nombreuses problématiques de #santé.  Le réseau international de Médecins du Monde reste mobilisé afin de soutenir le système de santé local, fragilisé par le conflit.  #TheLongestYear https://t.co/220YRQmra0","1629066407198466049","f","f","7",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-24 10:31:12+00","0","4","0","https://twitter.com/MdM_France/status/1629066407198466049","113398253","MdM_France","828","2024-06-06 20:21:28.824311+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177109","result","461","0",,,,,,"De septembre à janvier, MdM a élargi ses activités à de nouvelles régions ukrainiennes :  🚑 Début des activités dans l'oblast d’#Odessa et déploiement de 2 nouvelles unités mobiles dans les oblasts de #Vinnytsia et #IvanoFrankivsk  🩺 Partenariat avec la #CroixRouge à #Mykolaïv https://t.co/kFk9N2x69Y","1629066403373371392","f","f","13","https://pbs.twimg.com/media/FpuVz97XoAUKHA5.jpg","photo","https://pbs.twimg.com/media/FpuVz97XoAUKHA5.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-24 10:31:11+00","0","4","1","https://twitter.com/MdM_France/status/1629066403373371392","113398253","MdM_France","1641","2024-06-06 20:21:29.184748+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177110","result","462","0",,,,,,"Pendant les mois de mai &amp; juin, nos équipes ont poursuivi leurs actions en #Ukraine :  🚑 Déploiement de cliniques mobiles dans plusieurs villes  💊 Livraison de matériel médical à Zaporizhzhia https://t.co/n4nIweoPRZ","1629066400441552897","f","f","7","https://pbs.twimg.com/media/FpuVpnzWIAAX8eC.jpg","photo","https://pbs.twimg.com/media/FpuVpnzWIAAX8eC.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-24 10:31:11+00","0","3","1","https://twitter.com/MdM_France/status/1629066400441552897","113398253","MdM_France","957","2024-06-06 20:21:29.589895+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177111","result","463","0",,,,,,"Pendant le 1er mois suivant l'invasion #Russe, Médecins du Monde était mobilisée afin de répondre efficacement à l’urgence :  🚚 Livraison du stock d'urgence aux hôpitaux de l’oblast de Louhansk 💉 Livraison de matériel médical ⚕️ Début des interventions dans les pays frontaliers https://t.co/Mr9NhBRe51","1629066397308403713","f","f","3","https://pbs.twimg.com/media/FpuViwjX0AIGC1P.jpg","photo","https://pbs.twimg.com/media/FpuViwjX0AIGC1P.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-24 10:31:10+00","0","1","1","https://twitter.com/MdM_France/status/1629066397308403713","113398253","MdM_France","533","2024-06-06 20:21:29.970615+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177112","result","464","0",,,,,,"🇺🇦 #TheLongestYear   Le 24 février 2022 commençait l’invasion russe de l’#Ukraine.   Déjà présente dans le pays depuis 2014, Médecins du Monde avait immédiatement réorienté ses activités afin de porter assistance aux populations.  Retour sur une année d'intervention.  Thread 👇 https://t.co/7bXNhtwVvk","1629066393814433793","f","f","19","https://pbs.twimg.com/media/FpuVGRVWAAI1Y-m.jpg","photo","https://pbs.twimg.com/media/FpuVGRVWAAI1Y-m.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-24 10:31:09+00","0","9","1","https://twitter.com/MdM_France/status/1629066393814433793","113398253","MdM_France","3068","2024-06-06 20:21:30.348303+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177113","result","465","0",,,,,,"📢 La menace d'expulsion à l'encontre de notre partenaire associatif @AssoMaMaMa, qui apporte une aide matérielle &amp; d'urgence pour les #femmes précaires et isolées, a été levée pour un délai d'un an !   Soutenons-les dans la recherche de leur nouveau local 👇","1628708865096163328","f","t","22",,,,,,,,,,,,,"Médecins du Monde","https://twitter.com/AssoMaMaMa/status/Field","1628435978770685952","2023-02-23 10:50:28+00","0","11","0","https://twitter.com/MdM_France/status/1628708865096163328","113398253","MdM_France","2886","2024-06-06 20:21:30.748231+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
